,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
51051,gdb_51052,C1C(CN1)(C=O)OC=O,2.45594,1.34333,1.02353,5.9285,67.1,-0.2508,-0.0545,0.1963,1163.1954,0.122288,-475.01251,-475.003791,-475.002846,-475.046691,30.624
122742,gdb_122743,CCC#CCCCOC,6.93737,0.39276,0.38638,0.906,93.81,-0.241,0.062,0.303,2899.3517,0.202948,-388.262624,-388.25084,-388.249896,-388.302875,39.644
85528,gdb_85529,CC1NC(=O)OC2CC12,2.52889,1.66761,1.13088,5.0729,72.06,-0.253,0.0494,0.3024,1085.5356,0.149291,-439.12279,-439.114904,-439.11396,-439.1552,30.607
128288,gdb_128289,CNc1nc(n(n1)C)N,3.53484,1.15298,0.88573,2.7256,77.09,-0.1844,0.0409,0.2253,1314.9711,0.149432,-431.475107,-431.465593,-431.464649,-431.509615,33.715
91852,gdb_91853,OC1CN2CC2(C1)C#N,3.63718,1.20799,1.11564,5.4917,72.97,-0.2505,0.0187,0.2692,1111.022,0.137368,-417.999564,-417.991737,-417.990793,-418.0317,30.377
104451,gdb_104452,CCC1(CCCCC1)O,2.89305,1.1415,1.01893,1.2789,88.22,-0.2569,0.0654,0.3223,1343.6239,0.229997,-389.525302,-389.515627,-389.514683,-389.559119,38.405
5002,gdb_5003,NC1=CC=COC1=N,3.40894,2.36468,1.39762,2.1276,71.38,-0.1862,-0.0258,0.1604,829.3866,0.109508,-378.75845,-378.7518,-378.750856,-378.788921,26.35
14170,gdb_14171,CC1(O)C2CC=CC12,3.80395,1.72557,1.70904,1.2099,72.59,-0.216,0.0204,0.2364,864.919,0.153913,-347.800764,-347.793354,-347.79241,-347.8317,29.738
71786,gdb_71787,CC12OC3C4CC1N4C23,3.10973,1.94893,1.7976,0.5192,73.19,-0.2198,0.0478,0.2675,859.7805,0.149338,-401.865222,-401.858759,-401.857815,-401.895609,27.297
104574,gdb_104575,CC(=O)CC1(CC1)CO,2.30334,1.25415,1.00297,3.5041,78.9,-0.247,-0.0212,0.2258,1297.8267,0.180103,-424.234974,-424.224925,-424.223981,-424.270517,36.865
97449,gdb_97450,CN=COCC1OC1C,3.74521,0.72981,0.67658,3.7211,80.66,-0.2444,0.0289,0.2733,1742.4054,0.16801,-440.25735,-440.247083,-440.246139,-440.293947,35.672
69578,gdb_69579,CC12CC1C1(CO1)C=C2,3.56208,1.30648,1.18366,1.9935,81.82,-0.229,0.0031,0.2321,1116.7933,0.159244,-385.869537,-385.861658,-385.860714,-385.901506,31.599
81131,gdb_81132,OC1C2CC1(CC#C)O2,3.43319,1.13215,1.01854,2.1696,74.23,-0.2401,0.0527,0.2927,1195.5279,0.133331,-421.71815,-421.709535,-421.708591,-421.751623,32.707
44372,gdb_44373,O=C1CC2CC3C2N3C1,3.13432,1.64034,1.3805,2.7691,74.27,-0.2237,-0.0162,0.2075,966.2457,0.149573,-401.930467,-401.923498,-401.922553,-401.962006,28.158
83912,gdb_83913,OC1C2CCNC12C#N,2.4966,1.52476,1.23953,3.6687,73.48,-0.246,0.0125,0.2585,1051.2487,0.138109,-418.002159,-417.994437,-417.993493,-418.034319,30.028
79253,gdb_79254,CC12CC3C(O1)C3C2O,2.45166,2.07819,1.57686,1.6566,72.58,-0.2348,0.0825,0.3173,923.5859,0.160962,-423.031846,-423.024548,-423.023604,-423.062966,30.464
68460,gdb_68461,CC12CC(COC1=O)N2,2.40205,2.04275,1.34559,3.5351,71.33,-0.2373,0.0062,0.2435,974.3802,0.14946,-439.10663,-439.09902,-439.098076,-439.138445,29.893
97600,gdb_97601,CCC#CC(O)CC#N,5.04312,0.56496,0.53472,5.9267,83.09,-0.2695,0.0149,0.2844,2052.2914,0.145179,-401.936705,-401.926077,-401.925133,-401.974387,36.196
33795,gdb_33796,N#CC12CC(CNC1)N2,3.50041,1.38812,1.19309,5.0744,76.01,-0.2361,0.0208,0.2569,1054.345,0.151456,-398.113567,-398.10622,-398.105276,-398.14512,29.376
73544,gdb_73545,OC12CCCC11CC2C1,2.48576,1.87049,1.55831,1.1081,81.78,-0.2323,0.0743,0.3065,977.252,0.184806,-387.033265,-387.025758,-387.024814,-387.06467,31.711
82932,gdb_82933,CC12C(O)C1CN1CC21,2.17974,1.80487,1.48622,2.2693,77.88,-0.2134,0.0671,0.2805,1017.686,0.171879,-403.103084,-403.094948,-403.094004,-403.135105,32.637
83278,gdb_83279,CC1C2COC(C)OC12,2.70403,1.41339,1.28694,1.5369,78.4,-0.2445,0.0814,0.3259,1122.9463,0.182909,-424.222232,-424.213544,-424.2126,-424.255221,33.563
76902,gdb_76903,CC1C2OCCC2N1C,2.3313,1.69321,1.20628,1.5062,82.42,-0.2127,0.0855,0.2982,1131.7605,0.194988,-404.338815,-404.330045,-404.3291,-404.371957,33.716
57957,gdb_57958,CC(C)C(=O)OC1CC1,3.62439,0.88061,0.80336,1.7623,80.16,-0.263,0.0166,0.2796,1538.3695,0.180038,-424.254142,-424.243878,-424.242934,-424.291094,36.559
